日期 时间 WH主压力（psi） T主压力（psi） WL主压力（psi） WH备压力（psi） T备压力（psi） WL备压力（psi） 高层进气压力（psi） 高层干燥气压力（psi） 高层卸压流量（L/min） 高层干燥气流量（L/min） 高层旁路流量（L/min） 低层进气压力（psi） 低层干燥气压力（psi） 低层卸压流量（L/min） 低层干燥气流量（L/min） 低层旁路流量（L/min）
2025-01-16 22:01:19 1539.61 1426.71 1679.07 0.00 0.00 0.00 15.84 6.50 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:20 1544.04 1431.14 1681.29 0.00 0.00 0.00 16.39 6.38 0.00 4.92 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:21 1532.97 1426.71 1674.65 0.00 0.00 0.00 16.39 6.44 0.00 4.83 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:22 1537.40 1426.71 1674.65 0.00 0.00 0.00 16.33 6.38 0.00 4.94 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:23 1541.82 1433.35 1681.29 0.00 0.00 0.00 16.33 5.40 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:24 1537.40 1424.50 1674.65 0.00 0.00 0.00 16.03 6.50 0.00 4.95 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:25 1539.61 1426.71 1670.22 0.00 0.00 0.00 16.21 6.38 0.00 4.90 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:26 1539.61 1433.35 1668.00 0.00 0.00 0.00 15.66 6.20 0.00 4.94 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:27 1535.18 1426.71 1681.29 0.00 0.00 0.00 16.45 6.44 0.00 4.94 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:28 1541.82 1428.93 1672.43 0.00 0.00 0.00 16.33 6.38 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:29 1535.18 1426.71 1672.43 0.00 0.00 0.00 16.27 6.38 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:30 1535.18 1424.50 1672.43 0.00 0.00 0.00 16.51 6.50 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:31 1539.61 1428.93 1665.79 0.00 0.00 0.00 16.51 6.44 0.00 4.99 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:32 1544.04 1426.71 1672.43 0.00 0.00 0.00 16.33 5.71 0.00 5.00 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:33 1541.82 1426.71 1672.43 0.00 0.00 0.00 16.33 6.38 0.00 4.95 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:34 1537.40 1426.71 1681.29 0.00 0.00 0.00 16.51 4.12 0.00 4.87 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:35 1541.82 1426.71 1672.43 0.00 0.00 0.00 15.78 5.83 0.00 4.99 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:36 1537.40 1428.93 1674.65 0.00 0.00 0.00 16.45 6.44 0.00 5.00 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:37 1539.61 1426.71 1668.00 0.00 0.00 0.00 16.33 6.44 0.00 4.98 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:38 1537.40 1426.71 1672.43 0.00 0.00 0.00 15.78 6.38 0.00 4.97 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:39 1541.82 1428.93 1670.22 0.00 0.00 0.00 16.27 6.44 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:40 1535.18 1420.07 1663.58 0.00 0.00 0.00 15.96 5.59 0.00 4.98 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:01:41 1537.40 1426.71 1676.86 0.00 0.00 0.00 16.51 6.01 0.00 4.84 0.98 0.00 0.00 0.00 0.00 0.00
